benchmark,model,surface,run,n_common,n_scored,accuracy
metabench-gsm8k,claude-sonnet,api,run_1,237,237,0.987342
metabench-gsm8k,claude-sonnet,interface,run_1,237,237,0.970464
metabench-gsm8k,claude-sonnet,api,run_2,237,237,0.987342
metabench-gsm8k,claude-sonnet,interface,run_2,237,237,0.987342
metabench-gsm8k,claude-sonnet,api,run_3,236,236,0.987288
metabench-gsm8k,claude-sonnet,interface,run_3,236,236,0.978814
metabench-gsm8k,claude-sonnet,api,run_4,237,237,0.991561
metabench-gsm8k,claude-sonnet,interface,run_4,237,237,0.983122
metabench-gsm8k,gemini-fast,api,run_0,237,237,0.991561
metabench-gsm8k,gemini-fast,interface,run_0,237,237,0.983122
metabench-gsm8k,gemini-fast,api,run_1,235,235,0.991489
metabench-gsm8k,gemini-fast,interface,run_1,235,235,0.991489
metabench-gsm8k,gemini-fast,api,run_2,236,236,0.991525
metabench-gsm8k,gemini-fast,interface,run_2,236,236,0.983051
metabench-gsm8k,gemini-fast,api,run_3,235,235,0.991489
metabench-gsm8k,gemini-fast,interface,run_3,235,235,0.991489
metabench-gsm8k,gemini-fast,api,run_4,223,223,0.991031
metabench-gsm8k,gemini-fast,interface,run_4,223,223,0.928251
metabench-gsm8k,gemini-thinking,api,run_0,235,235,0.982979
metabench-gsm8k,gemini-thinking,interface,run_0,235,235,0.987234
metabench-gsm8k,gemini-thinking,api,run_1,232,232,0.978448
metabench-gsm8k,gemini-thinking,interface,run_1,232,232,0.987069
metabench-gsm8k,gemini-thinking,api,run_2,237,237,0.991561
metabench-gsm8k,gemini-thinking,interface,run_2,237,237,0.991561
metabench-gsm8k,gemini-thinking,api,run_3,236,236,0.987288
metabench-gsm8k,gemini-thinking,interface,run_3,236,236,0.995763
metabench-gsm8k,gemini-thinking,api,run_4,226,226,0.982301
metabench-gsm8k,gemini-thinking,interface,run_4,226,226,0.946903
metabench-hellaswag,chatgpt-instant,api,run_0,93,93,0.892473
metabench-hellaswag,chatgpt-instant,interface,run_0,93,93,0.903226
metabench-hellaswag,chatgpt-instant,api,run_1,93,93,0.88172
metabench-hellaswag,chatgpt-instant,interface,run_1,93,93,0.913978
metabench-hellaswag,chatgpt-instant,api,run_2,91,91,0.879121
metabench-hellaswag,chatgpt-instant,interface,run_2,91,91,0.923077
metabench-hellaswag,chatgpt-instant,api,run_3,93,93,0.892473
metabench-hellaswag,chatgpt-instant,interface,run_3,93,93,0.892473
metabench-hellaswag,chatgpt-instant,api,run_4,91,91,0.868132
metabench-hellaswag,chatgpt-instant,interface,run_4,91,91,0.934066
metabench-hellaswag,chatgpt-thinking,api,run_0,93,93,0.924731
metabench-hellaswag,chatgpt-thinking,interface,run_0,93,93,0.935484
metabench-hellaswag,chatgpt-thinking,api,run_1,93,93,0.956989
metabench-hellaswag,chatgpt-thinking,interface,run_1,93,93,0.956989
metabench-hellaswag,chatgpt-thinking,api,run_2,93,93,0.946237
metabench-hellaswag,chatgpt-thinking,interface,run_2,93,93,0.967742
metabench-hellaswag,chatgpt-thinking,api,run_3,93,93,0.956989
metabench-hellaswag,chatgpt-thinking,interface,run_3,93,93,0.946237
metabench-hellaswag,chatgpt-thinking,api,run_4,93,93,0.946237
metabench-hellaswag,chatgpt-thinking,interface,run_4,93,93,0.892473
metabench-hellaswag,claude-haiku,api,run_0,90,90,0.933333
metabench-hellaswag,claude-haiku,interface,run_0,90,90,0.9
metabench-hellaswag,claude-haiku,api,run_1,90,90,0.933333
metabench-hellaswag,claude-haiku,interface,run_1,90,90,0.911111
metabench-hellaswag,claude-haiku,api,run_2,90,90,0.922222
